Font: ext-fonts/SF-Pro-Text-Bold.otf  (unitsPerEm=2048; values normalized to 1000 UPM)
Refs: width vs 'o' (ink width=485.00 (overridden)); side bearings vs 'l' (LSB=76.17, RSB=76.17)

char  name                         adv      LSB      RSB     w/o   LSB/l   RSB/l
   |  VERTICAL LINE             299.32    85.45    85.45   0.265   1.122   1.122
   (  LEFT PARENTHESIS          428.71   108.89    43.95   0.569   1.429   0.577
   )  RIGHT PARENTHESIS         428.71    43.95   108.89   0.569   0.577   1.429
   [  LEFT SQUARE BRACKET       428.71   123.05    35.16   0.558   1.615   0.462
   ]  RIGHT SQUARE BRACKET      428.71    35.64   122.56   0.558   0.468   1.609
   {  LEFT CURLY BRACKET        428.71    35.64    35.16   0.738   0.468   0.462
   }  RIGHT CURLY BRACKET       428.71    35.64    35.16   0.738   0.468   0.462
   <  LESS-THAN SIGN            671.39    73.24    72.75   1.083   0.962   0.955
   >  GREATER-THAN SIGN         671.39    73.24    72.75   1.083   0.962   0.955
   =  EQUALS SIGN               671.39    67.38    66.89   1.107   0.885   0.878
   +  PLUS SIGN                 671.39    60.55    60.06   1.136   0.795   0.788
   *  ASTERISK                  484.38    53.22    52.73   0.780   0.699   0.692
   &  AMPERSAND                 744.63    52.25    12.70   1.401   0.686   0.167
   @  COMMERCIAL AT             927.25    62.01    58.59   1.663   0.814   0.769
   #  NUMBER SIGN               671.39    17.58    17.09   1.313   0.231   0.224
   %  PERCENT SIGN             1035.64    62.50    62.50   1.878   0.821   0.821
   $  DOLLAR SIGN               671.39    70.31    66.41   1.102   0.923   0.872
   ~  TILDE                     671.39    67.38    66.89   1.107   0.885   0.878
   —  EM DASH                   906.74    35.64    35.64   1.723   0.468   0.468
   –  EN DASH                   627.44    35.64    35.64   1.147   0.468   0.468
   °  DEGREE SIGN               484.38    54.69    54.69   0.773   0.718   0.718
   æ  LATIN SMALL LETTER AE     924.80    42.48    44.43   1.728   0.558   0.583
   œ  LATIN SMALL LIGATURE O    983.40    44.92    44.92   1.842   0.590   0.590
   ø  LATIN SMALL LETTER O W    619.63    33.20    33.20   1.141   0.436   0.436
   ß  LATIN SMALL LETTER SHA    682.13    93.75    48.34   1.113   1.231   0.635
   Æ  LATIN CAPITAL LETTER A   1005.37    35.16    69.34   1.857   0.462   0.910
   Œ  LATIN CAPITAL LIGATURE   1124.51    54.20    69.82   2.063   0.712   0.917
   Ø  LATIN CAPITAL LETTER O    781.74    44.92    44.43   1.428   0.590   0.583
