Font: ext-fonts/UniversNextProBold.ttf  (unitsPerEm=1000; values normalized to 1000 UPM)
Refs: width vs 'o' (ink width=497.00 (overridden)); side bearings vs 'l' (LSB=71.00, RSB=71.00)

char  name                         adv      LSB      RSB     w/o   LSB/l   RSB/l
----  ----------------------  --------  -------  -------  ------  ------  ------

Lowercase
   \  REVERSE SOLIDUS           283.00   -23.00   -23.00   0.662  -0.324  -0.324
   |  VERTICAL LINE             264.00    75.00    75.00   0.229   1.056   1.056
   (  LEFT PARENTHESIS          317.00    56.00    43.00   0.439   0.789   0.606
   )  RIGHT PARENTHESIS         317.00    43.00    56.00   0.439   0.606   0.789
   [  LEFT SQUARE BRACKET       317.00    67.00    18.00   0.467   0.944   0.254
   ]  RIGHT SQUARE BRACKET      317.00    18.00    67.00   0.467   0.254   0.944
   {  LEFT CURLY BRACKET        389.00    15.00    20.00   0.712   0.211   0.282
   }  RIGHT CURLY BRACKET       389.00    20.00    15.00   0.712   0.282   0.211
   <  LESS-THAN SIGN            665.00    70.00    70.00   1.056   0.986   0.986
   >  GREATER-THAN SIGN         664.00    70.00    70.00   1.054   0.986   0.986
   =  EQUALS SIGN               665.00    70.00    70.00   1.056   0.986   0.986
   +  PLUS SIGN                 665.00    70.00    70.00   1.056   0.986   0.986
   *  ASTERISK                  463.00    40.00    40.00   0.771   0.563   0.563
   &  AMPERSAND                 810.00    55.00    28.00   1.463   0.775   0.394
   @  COMMERCIAL AT            1005.00    40.00    38.00   1.865   0.563   0.535
   #  NUMBER SIGN               628.00    29.00    29.00   1.147   0.408   0.408
   %  PERCENT SIGN              923.00    23.00    23.00   1.765   0.324   0.324
   $  DOLLAR SIGN               628.00    44.00    44.00   1.087   0.620   0.620
   ~  TILDE                     666.00    60.00    60.00   1.099   0.845   0.845
   —  EM DASH                  1005.00   132.00   132.00   1.491   1.859   1.859
   –  EN DASH                   504.00     2.00     2.00   1.006   0.028   0.028
   °  DEGREE SIGN               406.00    37.00    37.00   0.668   0.521   0.521
   æ  LATIN SMALL LETTER AE     902.00    33.00    37.00   1.674   0.465   0.521
   œ  LATIN SMALL LIGATURE O    978.00    37.00    37.00   1.819   0.521   0.521
   ø  LATIN SMALL LETTER O W    622.00    37.00    37.00   1.103   0.521   0.521
   ß  LATIN SMALL LETTER SHA    711.00    71.00    30.00   1.227   1.000   0.423
   Æ  LATIN CAPITAL LETTER A    977.00    -7.00    40.00   1.899  -0.099   0.563
   Œ  LATIN CAPITAL LIGATURE    988.00    45.00    40.00   1.817   0.634   0.563
   Ø  LATIN CAPITAL LETTER O    779.00     8.00     7.00   1.537   0.113   0.099
