Font: ext-fonts/SF-Pro-Text-Regular.otf  (unitsPerEm=2048; values normalized to 1000 UPM)
Refs: width vs 'o' (adv=590.82); side bearings vs 'l' (LSB=83.98, RSB=83.98)

char  name                         adv      LSB      RSB     w/o   LSB/l   RSB/l
----  ----------------------  --------  -------  -------  ------  ------  ------

Lowercase
   |  VERTICAL LINE             258.79    89.84    89.84   0.163   1.070   1.070
   (  LEFT PARENTHESIS          381.84   118.16    53.71   0.433   1.407   0.640
   )  RIGHT PARENTHESIS         381.84    53.71   118.16   0.433   0.640   1.407
   [  LEFT SQUARE BRACKET       381.84   130.86    39.06   0.437   1.558   0.465
   ]  RIGHT SQUARE BRACKET      381.84    39.06   130.86   0.437   0.465   1.558
   {  LEFT CURLY BRACKET        381.84    39.06    39.06   0.626   0.465   0.465
   }  RIGHT CURLY BRACKET       381.84    39.06    39.06   0.626   0.465   0.465
   <  LESS-THAN SIGN            629.88    68.85    68.85   1.014   0.820   0.820
   >  GREATER-THAN SIGN         629.88    68.85    68.85   1.014   0.820   0.820
   =  EQUALS SIGN               629.88    62.99    62.99   1.038   0.750   0.750
   +  PLUS SIGN                 629.88    56.64    56.64   1.064   0.674   0.674
   *  ASTERISK                  471.68    71.29    71.29   0.678   0.849   0.849
   &  AMPERSAND                 711.43    56.15    13.67   1.322   0.669   0.163
   @  COMMERCIAL AT             917.97    69.82    53.22   1.638   0.831   0.634
   #  NUMBER SIGN               629.88    14.65    14.16   1.238   0.174   0.169
   %  PERCENT SIGN              925.29    65.92    65.92   1.635   0.785   0.785
   $  DOLLAR SIGN               629.88    70.31    73.73   1.001   0.837   0.878
   ~  TILDE                     629.88    62.99    62.99   1.038   0.750   0.750
   —  EM DASH                   874.02    39.55    39.55   1.638   0.471   0.471
   –  EN DASH                   583.50    39.55    39.55   1.039   0.471   0.471
   °  DEGREE SIGN               471.68    72.75    72.75   0.672   0.866   0.866
   æ  LATIN SMALL LETTER AE     902.83    47.85    52.73   1.653   0.570   0.628
   œ  LATIN SMALL LIGATURE O    970.21    52.73    52.73   1.782   0.628   0.628
   ø  LATIN SMALL LETTER O W    590.82    44.43    44.92   1.033   0.529   0.535
   ß  LATIN SMALL LETTER SHA    622.07   109.86    52.73   0.947   1.308   0.628
   Æ  LATIN CAPITAL LETTER A    959.96    33.69    69.34   1.766   0.401   0.826
   Œ  LATIN CAPITAL LIGATURE   1135.25    62.50    69.34   2.067   0.744   0.826
   Ø  LATIN CAPITAL LETTER O    768.55    59.08    58.59   1.341   0.703   0.698
